"C14ID","SiteID","C14Age","C14Error","LabCode","deltaC13","deltaC13Error","Material","calCurve","Region"
409,6,4510,40,"Beta-194379",-26.5,NA,"Charred Remain","intcal13",2
410,46,4420,40,"Beta-162482",-26.7,NA,"Charred Remain","intcal13",2
412,5,4100,50,"Beta-112345",-28.7,NA,"Wood","intcal13",2
414,5,3880,50,"Beta-112343",-31.3,NA,"Wood","intcal13",2
415,5,3910,50,"Beta-112344",-32.1,NA,"Wood","intcal13",2
416,6,4450,40,"IAAA-60561",-31.1,NA,"Wood","intcal13",2
417,15,3990,40,"Beta-194374",-26.3,NA,"Charred Remain","intcal13",2
419,35,3600,40,"Beta-167980",-26.2,NA,"Charred Remain","intcal13",2
428,23,3600,40,"Beta-199661",-26.2,NA,"Charred Remain","intcal13",2
430,45,3720,40,"Beta-149642",-26.2,NA,"Charred Remain","intcal13",2
432,40,3660,40,"Beta-156601",-27,NA,"Charred Remain","intcal13",2
433,40,3660,40,"Beta-148915",-29,NA,"Wood","intcal13",2
434,40,3710,40,"Beta-148916",-26.9,NA,"Wood","intcal13",2
440,49,3050,50,"Beta-158788",-28.1,NA,"Charred Remain","intcal13",2
441,45,3020,40,"Beta-149640",-27.9,NA,"Charred Remain","intcal13",2
442,45,3130,40,"Beta-149641",-27.9,NA,"Charred Remain","intcal13",2
443,45,3050,50,"IAAA-10312",-27.1,NA,"Charred Remain","intcal13",2
444,45,3720,60,"IAAA-10313",-31.7,NA,"Charred Remain","intcal13",2
450,35,4390,40,"Beta-174953",-26.2,NA,"Charred Remain","intcal13",2
452,35,3640,40,"Beta-183657",-26.4,NA,"Charred Remain","intcal13",2
453,35,4730,40,"Beta-183658",-27,NA,"Charred Remain","intcal13",2
455,37,3900,50,"Beta-167979",-28.1,NA,"Wood","intcal13",2
462,51,3510,26,"PLD-7690",-26.59,NA,"Pottery Food Residue","intcal13",2
464,51,4718,25,"PLD-7367",-26.55,NA,"Pottery Food Residue","intcal13",2
465,51,4452,26,"PLD-7691",-28.65,NA,"Pottery Food Residue","intcal13",2
