"","SiteID","C14ID","C14Age","C14Error","LabCode","deltaC13","deltaC13Error","Material","calCurve","Region","Ref","SiteName","Latitude","Longitude","Prefecture"
"55",5,329,5030,50,"Beta-116000",-26.7,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 3","Sannaimaruyama",40.8111,140.706,"Aomori"
"56",5,330,4950,50,"Beta-116001",-27.4,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 3","Sannaimaruyama",40.8111,140.706,"Aomori"
"57",5,412,4100,50,"Beta-112345",-28.7,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 3","Sannaimaruyama",40.8111,140.706,"Aomori"
"58",5,414,3880,50,"Beta-112343",-31.3,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 3","Sannaimaruyama",40.8111,140.706,"Aomori"
"59",5,415,3910,50,"Beta-112344",-32.1,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 3","Sannaimaruyama",40.8111,140.706,"Aomori"
"60",5,386,4430,50,"Beta-112347",-28.9,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 3","Sannaimaruyama",40.8111,140.706,"Aomori"
"61",5,366,4680,50,"Beta-112353",-27.4,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 3","Sannaimaruyama",40.8111,140.706,"Aomori"
"62",5,341,5108,196,"NUTA-5446",-26.6,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 3","Sannaimaruyama",40.8111,140.706,"Aomori"
"63",5,46,4150,40,"IAAA-40510",-28.61,0.68,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"64",5,47,4230,35,"MTC-04303",-26.6,NA,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"65",5,344,5050,40,"Beta-119438",-26.4,NA,"Charred Remain","intcal13",2,"Kunikita et al 2008 table 3","Sannaimaruyama",40.8111,140.706,"Aomori"
"66",5,348,4963,107,NA,-26.1,NA,"Pottery Food Residue","intcal13",2,"Kunikita et al 2008 table 3","Sannaimaruyama",40.8111,140.706,"Aomori"
"67",5,350,4894,74,NA,-26.2,NA,"Pottery Food Residue","intcal13",2,"Kunikita et al 2008 table 3","Sannaimaruyama",40.8111,140.706,"Aomori"
"68",5,352,4970,50,"Beta-115999",-26.8,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 3","Sannaimaruyama",40.8111,140.706,"Aomori"
"69",5,353,4780,70,"Beta-127603",-27,NA,"Charred Remain","intcal13",2,"Kunikita et al 2008 table 3","Sannaimaruyama",40.8111,140.706,"Aomori"
"70",5,354,4580,70,"Beta-127604",-28,NA,"Charred Remain","intcal13",2,"Kunikita et al 2008 table 3","Sannaimaruyama",40.8111,140.706,"Aomori"
"71",5,355,4970,50,"Beta-112341",-26.4,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 3","Sannaimaruyama",40.8111,140.706,"Aomori"
"72",5,357,4819,105,NA,-26.5,NA,"Pottery Food Residue","intcal13",2,"Kunikita et al 2008 table 3","Sannaimaruyama",40.8111,140.706,"Aomori"
"73",5,335,5145,90,"NUTA-5368",-26.3,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 3","Sannaimaruyama",40.8111,140.706,"Aomori"
"74",5,289,4290,40,"Tka-14487",-28.1,NA,"Pottery Food Residue","intcal13",2,"Kunikita et al 2008","Sannaimaruyama",40.8111,140.706,"Aomori"
