"C14ID","SiteID","C14Age","C14Error","LabCode","deltaC13","deltaC13Error","Material","calCurve","Region","Ref"
43,5,4110,40,"IAAA-32085",-28.77,0.95,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
44,5,4440,40,"IAAA-32084",-28.55,0.88,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
45,5,4410,40,"IAAA-32082",-28.24,0.88,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
46,5,4150,40,"IAAA-40510",-28.61,0.68,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
47,5,4230,35,"MTC-04303",-26.6,NA,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
48,5,4340,45,"MTC-05828",-28.9,NA,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
49,5,3755,45,"MTC-05829",-30.5,NA,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
50,5,4115,45,"MTC-05830",-26.7,NA,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
51,5,3880,25,"PLD-4858",-27.08,0.12,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
52,5,3960,25,"PLD-4859",-26.62,0.11,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
53,5,3980,25,"PLD-4860",-26.76,0.13,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
54,5,3945,25,"PLD-4861",-27,0.12,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
56,5,3985,25,"PLD-4863",-27.03,0.11,"Seed/Nut","intcal13",2,"Kenichi Kobayashi  2009"
57,5,4045,25,"PLD-4864",-25.26,0.1,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
58,5,3975,25,"PLD-4865",-27.38,0.11,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
59,5,3885,25,"PLD-4866",-25.92,0.1,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
60,5,3950,25,"PLD-4867",-25.91,0.13,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
61,5,4525,30,"PLD-4868",-26.4,0.13,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
62,5,4515,25,"PLD-4869",-25.86,0.14,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
63,5,4490,25,"PLD-4870",-25.04,0.14,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
64,5,4480,25,"PLD-4871",-25.98,0.14,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
65,5,4710,25,"PLD-4850",-25.1,0.16,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
66,5,4720,25,"PLD-4851",-26.34,0.14,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
67,5,4655,25,"PLD-4852",-27.14,0.16,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
68,5,4695,25,"PLD-4853",-26.04,0.12,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
69,5,3900,25,"PLD-4854",-24.58,0.13,"Seed/Nut","intcal13",2,"Kenichi Kobayashi  2009"
71,5,4100,25,"PLD-4856",-25.57,0.11,"Seed/Nut","intcal13",2,"Kenichi Kobayashi  2009"
72,5,4060,25,"PLD-4857",-25.52,0.13,"Seed/Nut","intcal13",2,"Kenichi Kobayashi  2009"
73,5,4630,35,"PLD-5156",-38.16,0.76,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
74,5,4735,25,"PLD-5157",-26.48,0.11,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
75,5,4665,25,"PLD-5158",-25.69,0.13,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
76,5,4420,40,"IAAA-71879",-28.3,0.52,"Seed/Nut","intcal13",2,"Kenichi Kobayashi  2009"
77,5,4520,40,"IAAA-71880",-31.75,0.62,"Seed/Nut","intcal13",2,"Kenichi Kobayashi  2009"
78,5,4590,40,"IAAA-71881",-28.26,0.49,"Seed/Nut","intcal13",2,"Kenichi Kobayashi  2009"
79,5,4630,40,"IAAA-71882",-28.68,0.61,"Seed/Nut","intcal13",2,"Kenichi Kobayashi  2009"
80,5,4730,40,"IAAA-71883",-27.52,0.37,"Seed/Nut","intcal13",2,"Kenichi Kobayashi  2009"
81,5,4080,70,"MTC-11854",-30.2,4.5,"Wood","intcal13",2,"Kenichi Kobayashi  2009"
82,5,4130,80,"MTC-11855",-25.8,3.8,"Wood","intcal13",2,"Kenichi Kobayashi  2009"
83,5,4160,50,"MTC-11856",-25.3,3.3,"Wood","intcal13",2,"Kenichi Kobayashi  2009"
84,5,4120,60,"MTC-11857",-25,3.5,"Wood","intcal13",2,"Kenichi Kobayashi  2009"
85,5,4030,60,"MTC-11858",-26,3.3,"Wood","intcal13",2,"Kenichi Kobayashi  2009"
86,5,4190,50,"MTC-11859",-24.9,3.1,"Wood","intcal13",2,"Kenichi Kobayashi  2009"
87,5,4000,60,"MTC-11860",-24.4,3.8,"Wood","intcal13",2,"Kenichi Kobayashi  2009"
92,5,3930,70,"MTC-11865",-30.8,4.6,"Wood","intcal13",2,"Kenichi Kobayashi  2009"
93,5,3860,70,"MTC-11866",-25.1,4.4,"Wood","intcal13",2,"Kenichi Kobayashi  2009"
94,5,4120,60,"MTC-11867",-25.2,3.8,"Wood","intcal13",2,"Kenichi Kobayashi  2009"
96,15,4180,40,"Beta-197424",-26.3,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
97,15,3870,35,"MTC-05214",-27.1,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
99,15,3945,40,"MTC-05391",-31.7,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
100,15,4145,35,"MTC-05392",-29.3,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
101,31,5065,30,"PLD-11566",-24.72,0.31,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
103,31,5500,25,"PLD-11568",-25.35,0.17,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
104,31,5055,25,"PLD-11569",-24.47,0.11,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
105,31,4980,25,"PLD-11570",-25.62,0.21,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
106,31,4720,25,"PLD-11571",-25.62,0.21,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
107,31,4805,25,"PLD-11572",-25.77,0.11,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
108,31,4750,25,"PLD-11573",-25.87,0.14,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
110,31,4470,25,"PLD-11575",-27.62,0.14,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
111,31,4510,25,"PLD-11576",-27.23,0.19,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
112,31,5070,25,"PLD-11577",-25.5,0.13,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
113,31,4500,25,"PLD-11578",-28.26,0.13,"Seed/Nut","intcal13",2,"Kenichi Kobayashi  2009"
114,31,4620,25,"PLD-11579",-26.05,0.12,"Seed/Nut","intcal13",2,"Kenichi Kobayashi  2009"
115,31,4605,25,"PLD-11580",-26.62,0.13,"Seed/Nut","intcal13",2,"Kenichi Kobayashi  2009"
116,31,4670,25,"PLD-11581",-27.93,0.12,"Seed/Nut","intcal13",2,"Kenichi Kobayashi  2009"
126,20,4280,40,"Beta-209317",-25.2,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
129,20,2875,30,"MTC-06393",-28.9,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
130,20,2925,35,"MTC-06394",-26.2,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
131,20,2960,30,"MTC-06395",-26.8,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
132,20,2580,80,"MTC-06396",-27.6,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
134,8,3785,25,"PLD-4161",-26.1,0.15,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
135,8,4140,25,"PLD-4162",-25.99,0.13,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
136,8,4150,25,"PLD-4163",-25.86,0.13,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
137,8,4075,30,"PLD-4165",-26.11,0.14,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
139,8,4095,25,"PLD-4166",-25.18,0.13,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
140,8,4135,25,"PLD-4167",-27.76,0.14,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
141,8,4070,25,"PLD-4168",-31.46,0.27,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
142,8,4150,25,"PLD-4169",-26.15,0.13,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
143,8,4135,25,"PLD-4170",-25.68,0.15,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
144,12,2950,50,"IAAA-30443",-26.95,1.89,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
147,12,2720,80,"IAAA-30447",-27.19,1.34,"Lacquer","intcal13",2,"Kenichi Kobayashi  2009"
148,12,2580,60,"IAAA-30446",-26.73,1.47,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
155,12,2930,30,"MTC-04330",-28.7,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
156,12,3080,40,"Beta-190354",-24.9,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
158,12,2610,35,"MTC-04332",-26.7,NA,"Lacquer","intcal13",2,"Kenichi Kobayashi  2009"
159,12,2980,35,"MTC-03795",-28.7,NA,"Lacquer","intcal13",2,"Kenichi Kobayashi  2009"
160,12,3040,60,"MTC-03796",-29.1,NA,"Lacquer","intcal13",2,"Kenichi Kobayashi  2009"
161,12,3140,40,"Beta-163814",-26.2,NA,"Seed/Nut","intcal13",2,"Kenichi Kobayashi  2009"
162,12,3140,40,"Beta-163815",-24.2,NA,"Seed/Nut","intcal13",2,"Kenichi Kobayashi  2009"
163,12,3120,40,"Beta-163816",-25.4,NA,"Seed/Nut","intcal13",2,"Kenichi Kobayashi  2009"
166,12,2925,20,"PLD-4128",-25.35,0.11,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
167,12,2960,20,"PLD-4127",-26.9,0.12,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
169,3,5000,35,"MTC-07409",-24.1,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
170,3,5005,35,"MTC-07410",-26.1,NA,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
171,3,5045,35,"MTC-07411",-24.3,NA,"Seed/Nut","intcal13",2,"Kenichi Kobayashi  2009"
172,3,4910,30,"MTC-07412",-24.4,NA,"Seed/Nut","intcal13",2,"Kenichi Kobayashi  2009"
173,3,4860,30,"MTC-07413",-24.9,NA,"Seed/Nut","intcal13",2,"Kenichi Kobayashi  2009"
179,3,4920,30,"PLD-6043",-24.66,0.32,"Bone","intcal13",2,"Kenichi Kobayashi  2009"
187,24,3965,45,"MTC-08495",-27.7,1,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
188,24,3950,100,"MTC-08496",-30.3,0.7,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
189,24,5725,45,"MTC-08497",-27.1,1,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
195,16,3845,40,"MTC-05216",-25.3,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
196,23,6870,50,"MTC-08492",-31.4,0.7,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
197,9,4015,25,"PLD-4176",-26.37,0.15,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
198,9,4095,25,"PLD-4177",-28.25,0.13,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
199,9,3995,25,"PLD-4178",-28.11,0.15,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
200,9,4000,25,"PLD-4179",-26.32,0.13,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
201,9,4040,25,"PLD-4180",-28.77,0.13,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
202,9,4055,25,"PLD-4181",-27.73,0.14,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
203,9,4010,25,"PLD-4182",-26.66,0.14,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
204,9,3995,25,"PLD-4183",-29.18,0.13,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
205,9,4040,30,"PLD-4184",-28.32,0.16,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
219,4,5020,50,"Beta-187223",-25,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
220,26,2530,45,"MTC-08954",-29.3,2.8,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
222,26,2535,20,"PLD-8227",-27.31,0.18,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
225,10,4730,40,"Beta-180279",-27.8,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
226,10,4510,35,"MTC-03491",-26.6,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
227,10,4615,40,"MTC-03776",-27.7,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
229,10,4565,40,"MTC-03777",-25.7,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
230,10,4525,35,"MTC-03492",-27.5,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
231,10,4565,40,"MTC-03778",-31.7,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
232,10,4560,40,"Beta-180281",-26.4,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
233,10,4560,40,"Beta-180280",-26.6,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
234,10,4550,40,"Beta-182488",-26.2,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
236,10,4550,35,"MTC-03493",-38.1,NA,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
237,10,4475,35,"MTC-03494",-33,NA,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
238,10,4500,35,"MTC-03495",-29.2,NA,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
239,10,4510,35,"MTC-03496",-31.3,NA,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
240,10,4500,60,"MTC-03497",-29.8,NA,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
241,10,4515,35,"MTC-03498",-29.9,NA,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
242,10,4515,35,"MTC-03499",-27.7,NA,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
243,10,4530,35,"MTC-03500",-27.2,NA,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
244,10,4460,35,"MTC-03501",-26.6,NA,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
245,10,4440,50,"MTC-03502",-26.2,NA,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
246,10,2560,60,"MTC-03779",-25.8,NA,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
247,10,4455,35,"MTC-03503",-27.6,NA,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
248,10,4505,35,"MTC-03504",-27.8,NA,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
249,10,4525,35,"MTC-03505",-27,NA,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
250,10,4540,35,"MTC-03506",-27,NA,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
251,14,2570,30,"IAAA-41126",-26.63,0.6,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009"
263,33,3090,50,"IAAA-30445",-26,1.63,"Seed/Nut","intcal13",2,"Kenichi Kobayashi  2009"
267,33,3140,40,"Beta-187229",-25.4,NA,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
269,33,3175,25,"PLD-4173",-25.59,0.16,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009"
271,33,3175,25,"PLD-4171",-27.85,0.13,"Seed/Nut","intcal13",2,"Kenichi Kobayashi  2009"
277,22,4370,40,"Tka-14431",-27.3,NA,"Seed/Nut","intcal13",2,"Kunikita et al 2008"
278,22,4450,45,"Tka-14432",-24.3,NA,"Seed/Nut","intcal13",2,"Kunikita et al 2008"
279,22,4385,30,"Tka-14483",-26,NA,"Pottery Food Residue","intcal13",2,"Kunikita et al 2008"
280,6,4120,45,"Tka-14477",-24.2,NA,"Seed/Nut","intcal13",2,"Kunikita et al 2008"
281,6,4315,40,"Tka-14478",-27,NA,"Seed/Nut","intcal13",2,"Kunikita et al 2008"
282,6,4300,40,"Tka-14479",-25.9,NA,"Seed/Nut","intcal13",2,"Kunikita et al 2008"
283,6,4320,35,"Tka-14480",-29,NA,"Seed/Nut","intcal13",2,"Kunikita et al 2008"
285,25,4165,40,"Tka-14482",-24.8,NA,"Seed/Nut","intcal13",2,"Kunikita et al 2008"
286,5,4130,130,"Tka-14484",-24.1,NA,"Pottery Food Residue","intcal13",2,"Kunikita et al 2008"
287,5,4560,45,"Tka-14485",-24.1,NA,"Pottery Food Residue","intcal13",2,"Kunikita et al 2008"
289,5,4290,40,"Tka-14487",-28.1,NA,"Pottery Food Residue","intcal13",2,"Kunikita et al 2008"
297,43,4160,40,"Tka-14492",-24.9,NA,"Pottery Food Residue","intcal13",2,"Kunikita et al 2008"
298,6,3525,40,"Tka-14496",-24.5,NA,"Pottery Food Residue","intcal13",2,"Kunikita et al 2008"
301,6,4110,35,"Tka-14499",-28.5,NA,"Pottery Food Residue","intcal13",2,"Kunikita et al 2008"
302,6,4025,35,"Tka-14500",-26.8,NA,"Pottery Food Residue","intcal13",2,"Kunikita et al 2008"
303,6,3995,30,"Tka-14501",-26.8,NA,"Pottery Food Residue","intcal13",2,"Kunikita et al 2008"
305,5,4005,40,"Tka-14424",-31.7,NA,"Charred Remain","intcal13",2,"Kunikita et al 2008"
306,5,4080,35,"Tka-14425",-25.9,NA,"Charred Remain","intcal13",2,"Kunikita et al 2008"
307,5,4130,40,"Tka-14426",-25.8,NA,"Charred Remain","intcal13",2,"Kunikita et al 2008"
310,6,4602,36,"IAAA-50510",-29.6,NA,"Seed/Nut","intcal13",2,"Kunikita et al 2008 table 2"
311,6,4430,50,"Beta-174582",-26.1,NA,"Seed/Nut","intcal13",2,"Kunikita et al 2008 table 2"
312,6,4350,50,"Beta-174574",-27.6,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 2"
313,6,4400,40,"Beta-174575",-27.6,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 2"
314,6,4660,50,"Beta-174576",-26.6,NA,"Seed/Nut","intcal13",2,"Kunikita et al 2008 table 2"
315,6,4102,41,"IAAA-52426",-28.3,NA,"Seed/Nut","intcal13",2,"Kunikita et al 2008 table 2"
316,6,4540,40,"Beta-186358",-24.8,NA,"Seed/Nut","intcal13",2,"Kunikita et al 2008 table 2"
317,22,4420,40,"IAAA-70632",-29.4,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 2"
318,22,4450,40,"IAAA-70633",-25.6,NA,"Seed/Nut","intcal13",2,"Kunikita et al 2008 table 2"
319,22,4270,40,"IAAA-70634",-26.7,NA,"Seed/Nut","intcal13",2,"Kunikita et al 2008 table 2"
320,6,4440,40,"Beta-194377",-26.7,NA,"Charred Remain","intcal13",2,"Kunikita et al 2008 table 2"
321,6,4500,40,"Beta-194380",-26.8,NA,"Charred Remain","intcal13",2,"Kunikita et al 2008 table 2"
322,6,4450,40,"Beta-194381",-25.4,NA,"Charred Remain","intcal13",2,"Kunikita et al 2008 table 2"
324,6,4120,50,"Beta-174581",-25,NA,"Seed/Nut","intcal13",2,"Kunikita et al 2008 table 2"
325,9,3820,40,"Beta-199686",-25.1,NA,"Charred Remain","intcal13",2,"Kunikita et al 2008 table 2"
326,9,4080,40,"Beta-199689",-27.1,NA,"Charred Remain","intcal13",2,"Kunikita et al 2008 table 2"
327,5,3750,80,"Beta-87145",-26.1,NA,"Charred Remain","intcal13",2,"Kunikita et al 2008 table 2"
328,6,3230,50,"Beta-174583",-25.5,NA,"Charred Remain","intcal13",2,"Kunikita et al 2008 table 2"
329,5,5030,50,"Beta-116000",-26.7,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 3"
330,5,4950,50,"Beta-116001",-27.4,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 3"
331,5,5050,60,"Beta-87143",-27.8,NA,"Seed/Nut","intcal13",2,"Kunikita et al 2008 table 3"
332,5,4960,60,"Beta-87144",-31.6,NA,"Organic","intcal13",2,"Kunikita et al 2008 table 3"
333,5,4779,87,"NUTA-5366",-25.8,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 3"
334,5,4732,83,"NUTA-5374",-25.6,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 3"
335,5,5145,90,"NUTA-5368",-26.3,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 3"
336,5,4842,86,"NUTA-5375",-26.4,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 3"
337,5,4781,92,"NUTA-5376",-25.9,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 3"
338,5,5103,87,"NUTA-5373",-26.7,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 3"
339,5,5005,88,"NUTA-5347",-25.8,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 3"
340,5,5077,84,"NUTA-5369",-25.9,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 3"
341,5,5108,196,"NUTA-5446",-26.6,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 3"
342,5,4970,119,"NUTA-5448",-26.8,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 3"
343,5,4980,40,"Beta-119437",-27.2,NA,"Charred Remain","intcal13",2,"Kunikita et al 2008 table 3"
344,5,5050,40,"Beta-119438",-26.4,NA,"Charred Remain","intcal13",2,"Kunikita et al 2008 table 3"
351,5,4850,50,"Beta-115998",-25.7,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 3"
352,5,4970,50,"Beta-115999",-26.8,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 3"
353,5,4780,70,"Beta-127603",-27,NA,"Charred Remain","intcal13",2,"Kunikita et al 2008 table 3"
354,5,4580,70,"Beta-127604",-28,NA,"Charred Remain","intcal13",2,"Kunikita et al 2008 table 3"
355,5,4970,50,"Beta-112341",-26.4,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 3"
361,5,4821,46,"NUTA2-719",-24.8,NA,"Pottery Food Residue","intcal13",2,"Kunikita et al 2008 table 3"
362,6,4980,40,"IAAA-60564",-26.1,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 3"
363,44,4640,40,"Beta-199694",-25.4,NA,"Charred Remain","intcal13",2,"Kunikita et al 2008 table 3"
364,45,4740,50,"Beta-162496",-24.3,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 3"
365,45,4800,40,"Beta-162497",-25.4,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 3"
